"Protein","Total.identified.peptides","Total.quantified.peptides","Annotation","C_0_R_1","C_0_R_2","C_0_R_3","C_1_R_1","C_1_R_2","C_1_R_3","C_2_R_1","C_2_R_2","C_2_R_3","C_3_R_1","C_3_R_2","C_3_R_3","C_4_R_1","C_4_R_2","C_4_R_3","C_5_R_1","C_5_R_2","C_5_R_3"
"Q9Y490",151,139,"TLN1_HUMAN Talin-1",0.264250974447816,0.276738483261078,0.336729391066029,0.0453713543822346,0.0707824309403598,-0.0161217817249751,0.0672795582955415,0.140392452644657,0.18333747726436,0.0465157590454952,0.0771124461375617,-0.0475516533717682,-0.183727889889588,-0.19448110341799,-0.174235877529413,-0.219314689276537,-0.281429506952085,-0.279567758600165
"Q9NZJ4",144,141,"SACS_HUMAN Sacsin",-0.341852183842322,-0.321087912400748,-0.351673992355058,-0.217430455335865,-0.217959885875803,-0.197794283601687,0.215724866719218,0.204046894110523,0.207428262321444,0.190178871614506,0.206857023984907,0.212433227808731,0.0889496486282422,0.117142914282548,0.118364522252198,0.0820129651479613,0.044639571867274,0.0476854856411467
"Q01082",142,105,"SPTB2_HUMAN Spectrin beta chain, non-erythrocytic 1",-0.228037008702987,-0.202505831878523,-0.221117350252858,-0.114993666189476,-0.0999029729663258,-0.0804979928984499,-0.0345638006814736,-0.074455597642452,-0.119381625809156,-0.00705143641566406,-0.0046415080717617,0.037696927461814,0.201977654816373,0.171492247783495,0.178191838044115,0.232425814913782,0.232359247191645,0.228375010695483
"P46939",139,130,"UTRO_HUMAN Utrophin",-0.377610110931649,-0.373357524145597,-0.426042371352527,-0.237025740976692,-0.23850622848695,-0.243598654969116,-0.0882257780449875,-0.105754568117874,-0.172189892801925,0.0466501160927408,-0.0649210776782923,-0.0127285324765322,0.31619962125789,0.350286193087401,0.338799017135952,0.455619820040463,0.443771051920627,0.449956069130118
"Q92616",129,106,"GCN1_HUMAN eIF-2-alpha kinase activator GCN1",-0.109966247607921,-0.110284437197809,-0.105722076949161,-0.027826040731936,-0.0538991535463296,-0.0207453236925072,-0.122358247908897,-0.13975611261146,-0.172537439035962,-0.0601474017082376,-0.104171152818798,-0.0407738435447634,0.130121125443134,0.15430968206097,0.170977818375527,0.222505796938365,0.237129480045477,0.239888770141464
"Q9UKX2",128,127,"MYH2_HUMAN Myosin-2",-1.74615279707842,-1.62021798206976,-1.30451251075948,-1.55287583545329,-1.48742939119577,-1.10659155069477,-1.39776697450421,-1.1202001626428,-1.20031322283251,0.0695602888540439,-0.339768011044589,-0.117625021203603,1.31322048427231,1.72877840236672,1.76053160466098,2.65529303012261,2.57546181566385,2.37428541164361
"Q7Z6Z7",124,97,"HUWE1_HUMAN E3 ubiquitin-protein ligase HUWE1",-0.253646010860343,-0.24431431084223,-0.299809081192916,-0.108865176283638,-0.118554070389407,-0.0918895100972647,-0.0892431532003628,-0.119087966586406,-0.189718874887025,-0.00297824365698071,-0.0519390826005161,0.0087494122708597,0.184245705607255,0.226553948415345,0.2138913198221,0.367697867739485,0.320043239779657,0.336039028205962
"P21333",121,119,"FLNA_HUMAN Filamin-A",0.343305713413877,0.341676573930437,0.420402235188568,0.112904910129769,0.136669938810078,0.0505888791295672,0.223826352226097,0.266357451981985,0.374557592538093,0.116453915948267,0.199466003685383,0.0287865644786976,-0.212337247236488,-0.365685398768418,-0.369207449565661,-0.436195940070498,-0.573319881645236,-0.570463500554346
"Q5T4S7",118,94,"UBR4_HUMAN E3 ubiquitin-protein ligase UBR4",-0.137085507002736,-0.16087043692408,-0.145976730721922,0.0211909415686638,0.0465588990722162,0.0910415903024809,-0.0566335903059102,-0.080547815171446,-0.161774876249545,-0.14712539521465,-0.188921613059679,-0.087651825548932,0.0435012691613683,0.10265291083001,0.109586873363709,0.268779924292321,0.290927707232012,0.265695868277036
"Q9NZM1",118,95,"MYOF_HUMAN Myoferlin",0.188039244783606,0.181468442170408,0.184626500416366,0.111691508701063,0.117085922641146,0.0663405834796143,0.0835362753497817,0.0879582433157011,0.127172900548924,0.0143138813394843,0.0479698745190972,-0.00839275975815148,-0.12656895046696,-0.157400070146265,-0.129950547399243,-0.228185608011992,-0.243338991184268,-0.227772250142441
"Q14789",117,108,"GOGB1_HUMAN Golgin subfamily B member 1",-0.0396117533638864,-0.0013845320786182,-0.0454632910994164,0.0306203194405881,0.0493143197256171,0.0640238409744386,-0.210499668704314,-0.241050508388137,-0.321552375574228,-0.189145969091682,-0.214274822638993,-0.157214672109196,0.0915493261083465,0.142475017152602,0.149683805221812,0.328483733762242,0.334102193197788,0.316339549327711
"Q14980",116,112,"NUMA1_HUMAN Nuclear mitotic apparatus protein 1",-0.15829158548599,-0.139588493237494,-0.114459567879489,-0.118865398707355,-0.0935855972628573,-0.090932341786511,0.219861992774216,0.222733362758478,0.227175221909099,0.24766274025443,0.271890491202009,0.241828008014683,0.0371760547070463,-0.0353673269582617,-0.017715337214391,-0.194554952487001,-0.208430247894736,-0.207168627058303
"P78559",113,106,"MAP1A_HUMAN Microtubule-associated protein 1A",-0.677518235719959,-0.675055041966447,-0.617162027184103,-0.461089553944522,-0.54459543206881,-0.486230041921827,0.0368786698900457,0.018586793885656,0.023369710766699,0.0728328184049123,-0.0104174885918199,0.069941219174396,0.335994683989089,0.389969754841785,0.42788358432404,0.789690879780611,0.673754892888193,0.660543315156099
"P12270",112,93,"TPR_HUMAN Nucleoprotein TPR",0.0413739223878601,0.0071050956081776,0.0584262337082764,-0.0701750449064132,-0.0793093296463345,-0.101268476652216,0.244386466465511,0.226029538879442,0.298163979257032,0.154642825809671,0.191355768916111,0.134834636492341,-0.0775088595129459,-0.128060181923489,-0.115457008051607,-0.19916567588689,-0.235061561830121,-0.229447061775971
"P49792",109,98,"RBP2_HUMAN E3 SUMO-protein ligase RanBP2",0.0044259462873857,-0.0169738310730202,0.00800030366916505,-0.0538847119992564,-0.0640614500844422,-0.119818354955166,0.238429440564081,0.209907358344554,0.266970365097878,0.158099946824525,0.154536931677645,0.127103978248665,7.74174689035026e-05,-0.0750881589802565,-0.0701280587175117,-0.202807313222692,-0.269200036206782,-0.201352222382898
"Q13439",106,103,"GOGA4_HUMAN Golgin subfamily A member 4",-0.156984656120486,-0.162436646718406,-0.201094417676227,-0.147679950150468,-0.165864404271678,-0.120039924184122,-0.192228399902231,-0.209018277595201,-0.248711159909406,0.0364068492206018,-0.022300604913533,0.0060305567983097,0.196929955523237,0.240912458955475,0.232978443280997,0.315702692608853,0.322054579598511,0.31627779319981
"P48681",105,91,"NEST_HUMAN Nestin",-0.21813755911671,-0.157384617306197,-0.231865718095471,-0.172415470079336,-0.0952736037706606,-0.0959636858084531,-0.278753590415667,-0.263645722749529,-0.341810264531786,-0.197050008242904,-0.276093826900766,-0.239058082991578,0.222899899121517,0.298303511294317,0.305302103567387,0.617014580928095,0.644231125201484,0.559145782290285
"Q99996",103,98,"AKAP9_HUMAN A-kinase anchor protein 9",-0.296982270628792,-0.277158352686408,-0.362226061727829,-0.229030732495808,-0.214163723928415,-0.212898522485111,-0.242790009660018,-0.265189691138511,-0.357991975347881,0.0722422944782122,0.0097245308747686,0.0950496566729393,0.393018347537843,0.429101445835428,0.379801833850466,0.335530072291391,0.344980061523897,0.356155422076225
"O75369",102,101,"FLNB_HUMAN Filamin-B",0.623084118134884,0.585624778411416,0.654730680630102,0.375926179945222,0.421941773729543,0.34259549343915,0.343111883586635,0.356521847680921,0.461581000042889,-0.00130600891634007,0.0678694805908977,-0.042746100226845,-0.399245700549139,-0.61388845030569,-0.623475895519144,-0.779778939098257,-0.87620592739053,-0.877777864702455
"Q15075",98,93,"EEA1_HUMAN Early endosome antigen 1",-0.11764498370225,-0.158894856153169,-0.162438265046388,-0.12312094991291,-0.14505402592396,-0.16428805088396,0.116232646037662,0.103480588845593,0.0803886205880359,0.05942544123625,-2.60265787807995e-05,0.0196193456450586,0.0434594847464975,0.0418736997597597,0.0582344585483159,0.1838009713763,0.128674903380629,0.127046123638597
"P46821",97,89,"MAP1B_HUMAN Microtubule-associated protein 1B",0.565325157682443,0.520673934644034,0.572701772035353,0.347251309249957,0.329788514974537,0.284291598788232,-0.156755111629309,-0.151850241976467,-0.0742618485367721,-0.266441619400447,-0.255001503647457,-0.329988533203974,-0.292338203627637,-0.356374757294468,-0.314421533835166,-0.0721193792559239,-0.184165909978978,-0.141630356594515
"Q8WWI1",96,69,"LMO7_HUMAN LIM domain only protein 7",0.238480679728243,0.215991830911584,0.235160188729176,0.10682843621766,0.115454638506291,0.0655790158376753,0.161128197671078,0.140838875326055,0.235646464961895,0.112772759403786,0.157265965421574,0.0953616987897073,-0.140368755449829,-0.209264620099093,-0.243529622850092,-0.362187892353884,-0.430364134374586,-0.406627463446891
"Q702N8",88,87,"XIRP1_HUMAN Xin actin-binding repeat-containing protein 1",-1.14144488376438,-1.05575760152649,-0.934752560758315,-1.08735057177248,-1.03422293351154,-0.843758907684569,-0.887392556893864,-0.766920684908724,-0.755667803684159,0.297424540002292,0.1136845722489,0.204816368532962,1.0862246638695,1.19807080306464,1.23479108422135,1.50069012812904,1.37590030260153,1.3449250593761
"Q14008",87,83,"CKAP5_HUMAN Cytoskeleton-associated protein 5",0.276282804706984,0.247580099192491,0.306001540415182,0.181496158484158,0.182608416442543,0.139472273860364,-0.0934144222633634,-0.111266318324245,-0.093403650997058,-0.108373818817826,-0.08348000526991,-0.10221335953353,-0.113689154256532,-0.109556066506669,-0.101847985433311,-0.0835412334494079,-0.141092262529687,-0.142985084189228
"Q07954",87,78,"LRP1_HUMAN Prolow-density lipoprotein receptor-related protein 1",0.328012249822419,0.322117469584792,0.421128519408876,0.351364069871387,0.318083815103754,0.348538063289436,0.156831155702782,0.148718275402162,0.216169332451477,-0.105831971832804,-0.0259955336179993,-0.0957993247468909,-0.276860126555878,-0.358854527702129,-0.369411493080014,-0.362178191453725,-0.451805031463831,-0.449533202434749
"P35580",87,84,"MYH10_HUMAN Myosin-10",-0.139129798834489,-0.111302628376189,-0.0857196253569308,0.0432765574106706,0.0351696816808465,0.0532450996137691,0.246958745816668,0.226444677832737,0.230499731105525,0.0761678138682631,0.0485055575223333,0.0446343273293498,-0.0238871229428167,-0.100786835712124,-0.0851224041855797,-0.105994960243877,-0.159726563682049,-0.136572037333396
"P20929",86,81,"NEBU_HUMAN Nebulin",-1.12092516928816,-1.03551134874151,-1.09911580227457,-0.922123363168058,-0.845437631324018,-0.881437165021723,-0.679094448769383,-0.609870312867349,-0.876970930156673,0.027189939139554,-0.401487743878276,-0.299014145070836,0.870915139179089,0.806530648636308,0.808385606569145,1.74889882323783,1.33203622037451,1.26795619776746
"Q9P2E9",86,85,"RRBP1_HUMAN Ribosome-binding protein 1",0.495500263088825,0.438226885767562,0.555236254947228,0.303100581497775,0.359869761403306,0.38226129885756,-0.0661721808918791,-0.0369824122961318,0.0227299767807431,-0.258403201666358,-0.209063952230308,-0.290867638557226,-0.2332884759414,-0.274739984234466,-0.301058599359037,-0.224047098059132,-0.293059893200649,-0.276510969583697
"P46940",86,81,"IQGA1_HUMAN Ras GTPase-activating-like protein IQGAP1",0.0935173136212264,0.0866781320281009,0.176281273373671,0.0182348101336625,0.0345693669923425,-0.0233041322744497,0.254268583507886,0.275774276655379,0.374025242796553,0.147335054771148,0.216809754770303,0.0896028737245893,-0.0863738009563434,-0.224138532326479,-0.234439942772605,-0.335018520279662,-0.413276955416026,-0.35395888147138
"Q6P2Q9",85,81,"PRP8_HUMAN Pre-mRNA-processing-splicing factor 8",0.0121745353350351,-0.0121009153468135,0.0212802655276323,-0.0800808806629899,-0.0768169244540989,-0.101324313544675,0.0792834562028367,0.0752968923862773,0.150197216835713,0.129144270574982,0.16782530015356,0.12383010930502,0.0035949345874287,-0.0219292775662172,-0.0188140908448032,-0.104781791386786,-0.168392867820522,-0.0908111034839064
"P18206",83,61,"VINC_HUMAN Vinculin",-0.180585723320936,-0.160324824348564,-0.175898678021844,-0.0163644924633912,0.00152215291220456,0.0326346075812095,0.00791122424394566,-0.0275929872040693,-0.0627917117122356,-0.0711046398892317,-0.10862587506009,-0.0382017392830521,0.0784968059952237,0.10423508066789,0.103365790325743,0.194710617643556,0.216236087804672,0.192427549502548
"P49327",83,78,"FAS_HUMAN Fatty acid synthase",-0.185962619914867,-0.182380824186837,-0.23297723750674,-0.246672632290459,-0.277720055295674,-0.335201003948025,-0.416320814578109,-0.380027080918101,-0.445887619344147,-0.270220058343323,-0.337765216285015,-0.299322699646388,0.241889959579535,0.453201699363724,0.437908532620308,0.855598669729811,0.877364186705386,0.796107911843471
"O75643",83,79,"U520_HUMAN U5 small nuclear ribonucleoprotein 200 kDa helicase",-0.0337018081829955,-0.0743288573863119,-0.0242797370415271,-0.0475337306513603,-0.0583723667560029,-0.0838147227640948,0.128367158374506,0.094748862126177,0.149595675417134,0.13009131767553,0.14009893333199,0.128171755961867,0.0012157610450297,-0.0354535700894505,-0.0120545371264652,-0.0975436043376149,-0.126175216266169,-0.0863704251208794
"Q00610",80,70,"CLH1_HUMAN Clathrin heavy chain 1",0.279881520852371,0.261687076751154,0.344142339501757,0.0114499607825736,0.0314233333723319,-0.106817873405894,0.109431388537797,0.163201378177566,0.304504551383497,0.090152094924067,0.174801976219056,-0.0032581953735171,-0.128987554063833,-0.195035159285126,-0.210190770467033,-0.267696595837365,-0.39287753876349,-0.363859138006522
"Q8IUG5",80,77,"MY18B_HUMAN Unconventional myosin-XVIIIb",-0.738732927170281,-0.705025914989709,-0.730396415087452,-0.419655079922723,-0.517901646561452,-0.453748395652391,-0.624573752913466,-0.617782351699333,-0.727676014696519,0.434628460100136,0.249838558139909,0.321995389056251,0.68220413220264,0.659347812534775,0.640471531239612,0.854631402279145,0.718918173220414,0.753540123981364
"Q8WUY3",79,78,"PRUN2_HUMAN Protein prune homolog 2",-0.571498149919087,-0.576263038547967,-0.548572966870509,-0.399671522147931,-0.435048561798398,-0.377366880725458,-0.688805140125176,-0.650545083057047,-0.728851669834927,0.262838155822843,0.149786305223458,0.163284122494439,0.55858724747206,0.682816154172849,0.652340972734029,0.899867898718375,0.805898490498058,0.804141363516903
"P21817",74,69,"RYR1_HUMAN Ryanodine receptor 1",-1.18691432423952,-1.08837840471897,-1.3251412257988,-1.00398460803851,-0.892902412796777,-1.05251131167861,-0.803198216378023,-0.684700695918771,-1.06182499687817,0.275986455409477,-0.185329884644238,-0.0333960630115884,1.03839779541388,1.06263541275534,1.07631286688832,1.75116038489629,1.46796231296855,1.4375572274556
"Q92878",74,72,"RAD50_HUMAN DNA repair protein RAD50",-0.149798454121545,-0.166129537571298,-0.147923114446353,-0.0824444053381491,-0.087711126928824,-0.063808027909407,0.199714243684724,0.173798244045384,0.206834542880325,0.122397483000887,0.117591182422827,0.144712039678426,0.0036205317521599,-0.0064124921944195,-0.0042018767579146,-0.0693286397271599,-0.0614859573956474,-0.0381618853932304
"P42704",72,53,"LPPRC_HUMAN Leucine-rich PPR motif-containing protein, mitochondrial",-0.184113517762668,-0.199564814725835,-0.182635293961197,-0.0331747962484185,-0.0253422492505108,0.0129725410939916,-0.0864020217835006,-0.174246656120596,-0.16330202926277,-0.0478582150136005,-0.0674312897155555,0.0444287218572045,0.159086889108045,0.181806966754187,0.183867384830184,0.222354149877309,0.201110221426031,0.243459913095013
"Q04637",71,64,"IF4G1_HUMAN Eukaryotic translation initiation factor 4 gamma 1",0.133672937553936,0.0955899444785386,0.125204704355127,0.106670729272152,0.0860882521078948,0.130190171627993,-0.2299738717609,-0.264099503704626,-0.279746180948254,-0.126374582017682,-0.168086618104742,-0.136198240108621,0.0073514726980529,0.0665602729999534,0.0704694670766175,0.157233790885701,0.14644504733526,0.16718357510357
"Q14683",71,62,"SMC1A_HUMAN Structural maintenance of chromosomes protein 1A",0.113863351631417,0.101791831751591,0.161717871148501,0.119098561047804,0.0878569831232088,0.135339664848808,0.159606446053581,0.108250904795027,0.176252280201892,0.0094438633713561,0.0664074907941628,0.0514298856407801,-0.128052600459236,-0.140832172106894,-0.163295591462125,-0.246242139181666,-0.257016432809503,-0.24518619514626
"Q9ULT8",71,70,"HECD1_HUMAN E3 ubiquitin-protein ligase HECTD1",0.0052726714016443,0.023021770379044,-0.0263746326190871,0.0194784633069659,0.0195157559443221,0.0373564654358621,-0.175649643084674,-0.164379483770277,-0.253337010175319,0.092251817447344,0.0573717121752499,0.0915421669795373,0.13740199349688,0.153446145634939,0.133898442100957,-0.0264826242189058,-0.0241356113620045,-0.017787627382872
"Q08378",70,66,"GOGA3_HUMAN Golgin subfamily A member 3",-0.110870906011461,-0.108379224582467,-0.141626764657996,-0.103512210644142,-0.0932029698423685,-0.128756318835656,-0.336826262772063,-0.317496787711974,-0.352274852568783,-0.138167276485413,-0.148391812088959,-0.139095864640793,0.235479131296143,0.262848738092155,0.262376646710869,0.520399086932971,0.458745236472832,0.475753092729732
"Q9NQT8",70,69,"KI13B_HUMAN Kinesin-like protein KIF13B",-0.516721690929122,-0.560253409928684,-0.490893125199636,-0.191237850167454,-0.234555341520929,-0.205043716677344,0.0221766631777069,-0.026423945149823,-0.0713393399128659,0.188607775860522,0.160188588872258,0.193527570242313,0.220697276816545,0.28511616334155,0.278970286112478,0.335544198859126,0.291657206549569,0.346985380059091
"P11055",68,68,"MYH3_HUMAN Myosin-3",-1.31956321566768,-1.2232222360567,-1.2459285599726,-1.1524922499084,-1.08129372114828,-1.02773073313206,-1.12320057973226,-0.907528588465433,-1.15679488293423,-0.139726237851018,-0.633807618429116,-0.445968510676642,1.00307812889434,1.37407980178738,1.40640278160341,2.5257136609269,2.4034445919675,2.24995010272097
"O75923",68,60,"DYSF_HUMAN Dysferlin",-0.316490271272846,-0.335147251825806,-0.319776527801124,-0.198823622074553,-0.248428789085364,-0.213432205192642,-0.185543923191557,-0.234996501448765,-0.264323763378097,-0.0816272230804223,-0.17768964860555,-0.0874580774093408,0.226002879259988,0.348355141766004,0.356567762926363,0.643478025451117,0.588960607967975,0.582539474868928
"Q709C8",67,66,"VP13C_HUMAN Vacuolar protein sorting-associated protein 13C",-0.303463247314369,-0.292072905627311,-0.350897263354542,-0.118638168680409,-0.196889232182438,-0.223333272281608,0.00205740257553288,-0.0628319456263065,-0.11477338837415,0.103221447860212,0.0728374974966483,0.0868473544735263,0.185661993157255,0.232072995044523,0.230413270305849,0.242866907206422,0.252358011040863,0.273596433457629
"Q9BZF9",67,61,"UACA_HUMAN Uveal autoantigen with coiled-coil domains and ankyrin repeats",0.15547752434995,0.135261358141964,0.169152958955749,0.116418265994014,0.154221567622244,0.157097054273105,0.0786256348599761,0.0529384676495879,0.0741270841818647,-0.0895989893702383,-0.037335964143168,-0.0862132221741929,-0.189301502689637,-0.196492111776777,-0.216515125302103,-0.0373635506194058,-0.0649031834061184,-0.0941179225362834
"Q00341",67,66,"VIGLN_HUMAN Vigilin",0.226271128840011,0.216951409967079,0.282525514448699,0.147951247474495,0.124958980473863,0.168212252749883,-0.140660563607865,-0.178310639011432,-0.126688130397488,-0.15670702301844,-0.139329182605536,-0.142777796562426,-0.036346903636443,-0.0433056887584212,0.0044089255467653,-0.0362351476582087,-0.0526678363512019,-0.040474029615258
"Q5VST9",66,65,"OBSCN_HUMAN Obscurin",-0.829112037182346,-0.811649747010787,-0.94540051335644,-0.780441366730875,-0.733036598885872,-0.790941322504757,-0.696947079289353,-0.554519023069192,-0.714932455099599,0.0384703070599584,-0.292251897221105,-0.215392948706115,0.755942419659855,0.798224379521302,0.757886532327292,1.56055012362334,1.29502417215024,1.18700477449598
"P11532",66,58,"DMD_HUMAN Dystrophin",-0.931774913022281,-0.818001667458849,-0.977302195887229,-0.721603663860251,-0.626070096066416,-0.649744106361171,-0.565524090994643,-0.515591306797507,-0.737569343488348,0.0285349075412147,-0.329634968847015,-0.221948308331729,0.645924826141591,0.622232028585818,0.653932888119455,1.55755957133714,1.22013574827251,1.13928242719554
"Q12888",65,55,"TP53B_HUMAN TP53-binding protein 1",-0.355744392173054,-0.33609323326674,-0.33470284685106,-0.153647343456399,-0.179616913673743,-0.0805421925925925,-0.0267146643781649,-0.105329143060682,-0.103216241896675,0.050718088196143,-0.0102826100761786,0.0843014472391601,0.170817754373406,0.230852391060068,0.212089957109274,0.365639071557612,0.322419805608306,0.353110434007151
"Q9UQE7",64,52,"SMC3_HUMAN Structural maintenance of chromosomes protein 3",0.0998276323604704,0.0973680273085486,0.134213092417945,0.0739901450678627,0.0782915009761105,0.0454371660595553,0.229356865927383,0.172055297591539,0.236832064009881,0.092742137074382,0.125744329875852,0.106028157870842,-0.118848027054526,-0.168867085610479,-0.185407191721953,-0.281618174079817,-0.318316583500106,-0.283094189329506
"P53621",64,55,"COPA_HUMAN Coatomer subunit alpha",0.333070187095853,0.299654031720214,0.297813909500592,0.102117400971322,0.0815995249606408,0.0727328053320902,-0.0874480362705731,-0.0608133518338452,0.0180004176840796,-0.074251374746171,-0.0753318706590934,-0.101652599189347,-0.116613642571551,-0.12122290467058,-0.0614202647362015,-0.13407806656758,-0.1391607144189,-0.133605311022433
"O75962",63,60,"TRIO_HUMAN Triple functional domain protein",0.23050522767032,0.210803375254188,0.221915427684205,0.185063765436828,0.217930612233486,0.240271743352198,-0.120386326106538,-0.121159857736576,-0.169692015913896,-0.155805052326912,-0.133440201490822,-0.116029021302396,-0.1226540262741,-0.0343584006187107,-0.0417411504201786,-0.123608493969295,-0.0299389890673821,-0.0463063757634463
"P07814",62,47,"SYEP_HUMAN Bifunctional glutamate/proline--tRNA ligase",-0.110047627284766,-0.126891303053332,-0.0912110376766603,-0.0221737005518688,-0.0434536654805129,-0.0220695098629844,-0.138639247580851,-0.174363392658712,-0.189769990766564,-0.155098762436573,-0.196163542671867,-0.114243783369214,0.130123218799137,0.16678313571044,0.159941990114275,0.340838223212533,0.321224113581522,0.341248174006196
