"Protein","Total.identified.peptides","Total.quantified.peptides","Annotation","C_0_R_1","C_0_R_2","C_0_R_3","C_1_R_1","C_1_R_2","C_1_R_3","C_2_R_1","C_2_R_2","C_2_R_3","C_3_R_1","C_3_R_2","C_3_R_3","C_4_R_1","C_4_R_2","C_4_R_3","C_5_R_1","C_5_R_2","C_5_R_3","log.ratios.C2.vs.C1","log.ratios.C3.vs.C1","log.ratios.C4.vs.C1","log.ratios.C5.vs.C1","log.ratios.C6.vs.C1","FDR.PolySTest.C2.vs.C1","FDR.PolySTest.C3.vs.C1","FDR.PolySTest.C4.vs.C1","FDR.PolySTest.C5.vs.C1","FDR.PolySTest.C6.vs.C1","Cluster"
"A6NDG6",12,9,"PGP_HUMAN Glycerol-3-phosphate phosphatase",-0.0211445333939949,-0.140564845443151,-0.0945487808772837,-0.0549825491966651,-0.0339764819283052,-0.0265526754558986,0.0208207969066022,-0.00258053088987638,0.0378008073351679,-0.0469913524878552,-0.0856058054066705,-0.0488720255716491,0.0052412718936189,0.0510089354723414,0.0102859325517258,0.176204905235691,0.0797400300569757,0.248578958286701,0.0469154843778536,0.104099744355441,0.0249296587494183,0.107598099877372,0.253594017764599,0.39164834806505,0.0246912515628898,0.381881158703918,0.00777699921701867,5.48809533309735e-06,1
"A6NDU8",4,3,"CE051_HUMAN UPF0600 protein C5orf51",-0.0728339663151648,-0.115559968292557,-0.00776889270557645,0.0251134515207413,-0.0744947607779751,-0.102952020191546,0.252314237325493,0.180121480711572,0.330826073187372,0.0099308866811802,0.122776124583607,0.178898815429086,0.0928809043574298,-0.019792977289604,-0.0938121464991627,-0.115523074364245,-0.293407048204773,-0.209106743361847,0.0146098326215062,0.319808206179245,0.16925621800239,0.0584795359606538,-0.140624679539189,0.751140054503151,0.000277359896432111,0.0151405423584769,0.159148501479081,0.00941273512530753,4
"A6NEE1",2,2,"PLHD1_HUMAN Pleckstrin homology domain-containing family D member 1",-0.207511514289734,-0.404991960005566,-0.53707792778242,-0.0189203459941101,-0.0554060475721679,-0.405019806109893,-0.284751549502085,-0.472871873265273,-0.562690727957721,-0.199039896161783,-0.414763780219225,-0.40891062079245,0.119778040222215,0.604520866871724,0.548980013896409,0.304290751413623,0.960124511679773,0.913362738622538,0.22341173413385,-0.0569109162157863,0.0422890349680873,0.807620107689356,1.10911980126455,0.340596715578052,0.335610165015202,0.410019147918627,0.000179937672730853,5.33843890398064e-06,1
"A6NHR9",51,43,"SMHD1_HUMAN Structural maintenance of chromosomes flexible hinge domain-containing protein 1",0.130769438810153,0.122296916272542,0.123694259424951,0.109324196500304,0.11358510849198,0.126428956140029,0.0351339433898295,0.0192919497967533,0.0358539596545683,0.000677310770291499,0.0462725036452964,0.0309520904194283,-0.0572038579652998,-0.0931332214185545,-0.0926791256547367,-0.161223301245357,-0.202080902702036,-0.154155842244864,-0.00914078445844432,-0.0954935872221649,-0.0996195698908766,-0.206592273182079,-0.298073553566634,0.0496614496614497,0.00183985344901092,0.000887472288284756,3.31818033697716e-07,2.65832156934194e-09,3
"A7E2Y1",16,13,"MYH7B_HUMAN Myosin-7B",-0.182248171368705,-0.212986154829952,-1.12091636272202,0.0932733796277725,-0.109321625845201,-0.949395449711282,0.0758183198332407,0.0145355186129414,-0.973529541356774,-0.0701889610411581,-0.379028555126899,-0.253595037342373,0.20490363455349,0.788108310596943,0.728575986962454,0.399126591183742,1.09231512159266,1.13183102010812,0.183568997663989,0.210991662003362,0.271112711803416,1.07924620701119,1.3798078072684,0.787855456820559,0.513427437859051,0.319481900056133,0.0032950310060314,0.000379598538602582,1
"A8MXV4",3,3,"NUD19_HUMAN Nucleoside diphosphate-linked moiety X motif 19",-0.230372731344372,-0.28944541841345,-0.258367819676856,-0.325970852670647,-0.265810248103265,-0.183029653367329,-0.0192822082167393,-0.100987770969344,-0.0458009675160933,0.11802610902512,0.127225513916733,0.105651790508747,0.198654343452989,0.15732364929432,0.26568513515966,0.417811378320775,0.240675871404297,0.294344702577717,0.00112507176447901,0.204038340910834,0.376363127628426,0.466616365780549,0.577005973912489,0.388654823437432,0.0010371385703631,1.97220067044846e-06,7.64744424351522e-08,3.48469829000137e-09,2
"A9UHW6",2,2,"MI4GD_HUMAN MIF4G domain-containing protein",-0.40358059679794,-0.386773269971634,NA,-0.0852708631101003,-0.0975310958761406,NA,-0.0826041510211156,-0.121426004485047,NA,0.105301496110627,NA,NA,0.396984803326898,NA,NA,0.672494292149925,NA,NA,0.303775953891667,0.293161855631706,0.500478429495414,0.792161736711685,1.06767122553471,0.00202887940633696,0.000887791077648277,8.79062408239888e-05,3.88690874215321e-06,4.7750485874754e-07,1
"B7ZAQ6|P0CG08",4,4,"GPHRA_HUMAN Golgi pH regulator A",-0.327118388011753,-0.324610190014658,-0.241606291049702,-0.0666601433744869,-0.100547325062185,-0.0500985957794063,0.0982102098380461,0.130170213862874,-0.0753796376462653,0.0047810562527938,0.0196451908349264,0.100381335282464,0.228903429473156,0.188062864554125,0.0521902782134751,0.272052915136502,0.0117611101843627,0.196149145562079,0.225342934953345,0.348778551710256,0.339380817148766,0.45416381377229,0.457766013319686,0.0138635124395916,0.000258926659258224,0.000210875253942295,5.69204092640621e-06,3.06273848746232e-06,2
"C4AMC7|Q6VEQ5",15,6,"WASH3_HUMAN Putative WAS protein family homolog 3",0.161471338067306,0.117195672103629,0.16806703848272,-0.0477252805030171,-0.0140188538723652,-0.0969479912581283,-0.0826616766311708,-0.0100844628899946,0.106041907146221,0.0473854243686648,0.200218310863849,0.0850320950849307,-0.0208310247976153,-0.151047815637098,-0.0567574175376572,-0.0882722617943809,-0.139070534124545,-0.0962510561519844,-0.201808724762389,-0.144479427009533,-0.0380327394454035,-0.225123435542008,-0.256775966908188,0.004759116813729,0.0164590550377175,0.263647755502571,0.000278479731505755,5.47183140328225e-05,4
"C9JLW8",5,4,"MCRI1_HUMAN Mapk-regulated corepressor-interacting protein 1",0.32491033853077,0.267121565443222,0.380804527810696,0.256003629217893,0.235546175516438,0.212528230132194,-0.135461800087651,-0.16093079261579,-0.118174840835307,-0.0791573213151565,-0.0172227435826147,-0.0371506248921425,-0.113579245580166,-0.200427770379404,-0.187321573986539,-0.141031589207652,-0.174239808013149,-0.224605980361611,-0.0895861323060543,-0.462467955107812,-0.368789040524867,-0.491388340576932,-0.5042379364557,0.0372460872460872,1.78887973609148e-08,1.12600284032642e-07,1.66866462302089e-09,6.28127128154692e-10,5
"E7EW31",9,9,"PROB1_HUMAN Proline-rich basic protein 1",-0.696842384236514,-0.546544054410777,-0.7696535473688,-0.526857933051612,-0.454988524554463,-0.649144388892576,-0.338383169101447,-0.23074614279876,-0.605416973184519,0.123346801168199,-0.202910936106398,-0.108500816373838,0.516353656046757,0.564463279486175,0.60967397487547,0.922391795668751,0.856299118171102,0.87765588578252,0.12734971317248,0.279497900310455,0.608325011568018,1.23451029880816,1.55646226187949,0.100438886955741,0.0137060233106347,2.08928104998617e-05,3.59012397668226e-09,1.23796868447767e-10,1
"E9PAV3",90,86,"NACAM_HUMAN Nascent polypeptide-associated complex subunit alpha, muscle-specific form",-1.48382245831739,-1.44837131037376,-1.16256132808827,-1.28794142363848,-1.29696447327229,-1.01519703550481,-0.622521946859259,-0.559267941409491,-0.508053318431002,0.537635918995507,0.372450485803167,0.455083535215843,1.14346357717102,1.23977502721431,1.27521932294915,1.57150320085654,1.43131227017661,1.46913225135187,0.164884054787947,0.801637296693223,1.81997501226465,2.5844043413713,2.85556760638815,0.0736236510497853,8.45540555589558e-07,6.45331866809995e-11,5.14228692758615e-13,7.06487075890333e-14,2
"L0R6Q1",5,5,"S35U4_HUMAN SLC35A4 upstream open reading frame protein",0.251119706133782,0.267952072232214,0.528514617914892,-0.157599179682291,-0.125757076662943,-0.26190250833823,-0.00509332779241865,0.125476714896018,0.298170030610318,0.181536197434016,0.277473549422468,-0.0737598438548133,-0.160887096746815,-0.291952163525621,-0.114190663070761,-0.213731695817621,-0.176552466280843,-0.26141327385671,-0.530948386988117,-0.209677659522324,-0.220778831093072,-0.538205439874695,-0.566427944078687,0.00052732148343849,0.0564077898401671,0.0333199182375104,3.83516018051712e-05,1.38999309117447e-05,4
"L0R819",4,4,"ASURF_HUMAN ASNSD1 upstream open reading frame protein",0.201653763955197,0.153673545433744,0.196070245900822,0.152698411759219,0.0626607879622904,0.00706034888338244,-0.0866370501252734,-0.178390366132931,-0.0976809567753682,-0.150020309237607,-0.109419502308521,-0.0687442234127277,-0.0113893593946014,0.000188504023063904,0.008883709821788,0.0063603860992846,-0.00395176496706915,0.0614314319627303,-0.109659335561624,-0.304701976107778,-0.293193863416206,-0.184571566946504,-0.162519167398272,0.0315200708578998,4.04174474296814e-06,3.49087871830975e-06,0.000143449660897315,0.000264219950459812,5
"O00116",25,23,"ADAS_HUMAN Alkyldihydroxyacetonephosphate synthase, peroxisomal",-0.241310818273308,-0.224182452253668,-0.199930091812876,-0.0929565584272678,-0.150459013297732,-0.0719606415803693,-0.0334541256691368,-0.0383242077281812,-0.0454183552777048,-0.0502115705521092,-0.0717386855857239,-0.0250451181951473,0.167304150230524,0.177193213850244,0.151242906579413,0.290537584300797,0.25244960005314,0.291156042539627,0.116682383011494,0.182742224554943,0.172809329335624,0.387054544333344,0.499855529744472,0.00245032290292896,1.64591808959459e-05,1.73866931030762e-05,9.26823800323367e-10,2.45811012798323e-11,1
"O00124",4,4,"UBXN8_HUMAN UBX domain-containing protein 8",0.485183015687109,0.481385209411924,0.647621004682845,0.263876957764563,0.26631899809144,0.45273981616576,-0.134115084539139,-0.136663720787208,-0.044582939250318,-0.274385255549691,-0.0878038243267108,-0.0893940223046626,-0.397001678337246,-0.3023527971633,-0.17230934469142,-0.474257227063748,-0.140003497481302,-0.280176532409972,-0.210417819253372,-0.643183658119514,-0.688590777320981,-0.828617683324615,-0.8362088289123,0.0477959112639837,8.07289763609434e-06,2.30043983274771e-06,1.2564658427737e-07,6.02966304361111e-08,5
"O00139",16,14,"KIF2A_HUMAN Kinesin-like protein KIF2A",-0.0854825061595087,-0.0454781715812253,-0.158365599870232,-0.119453907926961,-0.0812058269411157,-0.107456067905584,-0.107333592961388,-0.112409055313914,-0.236417181737857,-0.117665143980849,-0.158363919058416,-0.176918332524583,0.137048609418351,0.152719960822274,0.140872943441599,0.418359698349177,0.396926156759438,0.342917155262125,-0.00626317505423156,-0.0556111841340644,-0.0545403726509607,0.239989263764397,0.482509762660569,0.192391108293858,0.153970045702329,0.0886462465409834,1.16973896077538e-05,2.74639510810145e-09,1
"O00151",18,17,"PDLI1_HUMAN PDZ and LIM domain protein 1",0.270394719098686,0.204858242301376,0.288815946333181,0.111753248225162,0.17483299792001,0.0162144599680031,0.135842780256653,0.107680128056166,0.243978273483521,-0.0205528048559794,0.0274840479842643,-0.0320613726684136,-0.151964097631701,-0.26437481975887,-0.272341385150864,-0.0956254222365209,-0.353657691335313,-0.2667794913852,-0.153756067206689,-0.0921892419789677,-0.263066345757791,-0.484249736758226,-0.493377170896759,0.0568936556338495,0.125799842821108,0.000811622882783475,1.08516838692936e-06,4.93398143861157e-07,3
"O00154",15,13,"BACH_HUMAN Cytosolic acyl coenzyme A thioester hydrolase",0.167749914387804,0.117696587814655,0.203818354956694,0.16500688335825,0.0806035140536044,0.101827260236297,0.0263147906718883,0.0896145943538846,0.0826341076057123,-0.119561054000061,-0.0627001452131205,-0.0643868004001559,-0.189579083004995,-0.0876521074870915,-0.143710138435408,-0.133695474321257,-0.0815904198933234,-0.111432137423607,-0.0472757331703339,-0.0969004548425559,-0.24530428559083,-0.303402062028883,-0.27199429626578,0.177487531882167,0.0208249706286342,1.00924546360179e-05,4.40145178256121e-07,8.195296216566e-07,3
"O00159",50,31,"MYO1C_HUMAN Unconventional myosin-Ic",-0.185038054787096,-0.211676631227376,-0.188388455559092,-0.126954251750248,-0.1378641504935,-0.0960688056633469,0.0657487715662903,0.0312280896570492,0.0388385633396578,-0.00810854120524523,-0.011659282530893,0.023192715844775,0.111860876077688,0.0829731549975669,0.101263429540131,0.213916959088602,0.193588074111641,0.210101391177799,0.0747386445554897,0.240306188712187,0.1961760112274,0.293733534062983,0.400903188650535,0.017618059321767,2.59136439086016e-07,1.25735485563714e-06,5.41968336274605e-09,7.55491200843818e-11,2
"O00161",11,10,"SNP23_HUMAN Synaptosomal-associated protein 23",-0.0173874431706907,0.0406677358580262,-0.0232728175360262,-0.0283216331063882,0.0192349190344136,0.0476251471506743,0.20217311542445,0.156327910338527,0.117347073204799,0.0581325674208465,0.0700191943118578,0.0846626995807293,-0.0816628491333004,-0.0377426361248771,-0.0216048573940856,-0.222934895611111,-0.12979743808762,-0.184572858956778,0.0128436526424635,0.158613541272156,0.0709356620540414,-0.0470059392678575,-0.179104222602273,0.894418940515691,0.000545659767796256,0.0396935040519562,0.0611803805820781,3.35660165600384e-05,4
"O00165",6,6,"HAX1_HUMAN HCLS1-associated protein X-1",-0.285182114719469,-0.0786266265301739,-0.277918464633752,-0.0302967756579051,-0.149767470000947,-0.0335994827397065,-0.483558157304255,-0.337429795070749,-0.356233531860127,0.0396016310509647,-0.0678334527239191,0.0258679028536236,0.251273707380898,0.2498336480996,0.161284124903093,0.291171020471493,0.3152125522547,0.266102427356906,0.142687825828279,-0.178498092783912,0.213121095688021,0.434706228755662,0.504737735322165,0.0592580672564857,0.010567089287138,0.00238035744444234,1.73000100088269e-06,1.84536644635534e-07,1
"O00170",17,16,"AIP_HUMAN AH receptor-interacting protein",0.16416302233398,0.155045246291656,0.158772433273074,0.0743280639569623,0.0793499224808845,0.0778323423637568,0.0579760874570025,0.0586350994529476,0.122310082307279,-0.0001986491015812,0.0346788836568421,-0.00500385425756732,-0.136260080374684,-0.121696966976076,-0.139636009369049,-0.156008035193676,-0.165000232655677,-0.191415691438934,-0.0821567910323688,-0.0796864775604936,-0.149501440533672,-0.291857919539506,-0.330134887062332,0.0135575412557515,0.00786125129594557,3.47252038873542e-05,1.02995623590084e-08,1.24272088608678e-09,3
"O00178",16,12,"GTPB1_HUMAN GTP-binding protein 1",-0.223062213109365,-0.154300518200584,-0.214686768598839,0.00142363766625083,0.00452442425374824,0.127587983514909,-0.0657043973335401,-0.0748868058378932,-0.0937062019018091,-0.112312603298593,-0.0841146170440665,-0.0652619861843124,0.139230930676938,0.185577092624496,0.0748427466216679,0.263700247666249,0.185579694798854,0.238401573113168,0.241861848447899,0.119250698278515,0.110120097793939,0.33056675661063,0.426577005162353,0.000212967442085186,0.0111642183023395,0.0122373934411654,4.67799404524867e-07,1.39722234215827e-08,1
"O00192",3,3,"ARVC_HUMAN Armadillo repeat protein deleted in velo-cardio-facial syndrome",-0.978938215227627,-0.829793396119762,-0.866695439172353,-0.593431897414516,-0.626406515434456,-0.701287897060698,-0.0165302622726847,0.214774177955265,0.274067347857397,0.457238105717018,0.190931381926477,0.300320212722784,0.415436253282675,0.428690443068659,0.438396095171327,0.622032387167627,0.58253912321493,0.40617586765203,0.251433580203357,1.04924610468657,1.20797225029534,1.31931661401413,1.42872480951811,0.0193482709092584,1.77927508156348e-08,1.83689935726985e-09,2.37188799169451e-10,4.70772991781757e-11,2
"O00193",5,5,"SMAP_HUMAN Small acidic protein",0.0887923543452664,-0.0199956115160629,0.0717483790946095,0.123355163795524,0.0197353390831829,0.0602377735988835,0.264826275616403,0.172516357655543,0.24463769799007,0.0340028926452505,0.0922638001479542,0.100093059582866,-0.111791591485195,-0.214740689414317,-0.162022341928148,-0.208916370186533,-0.318162504608335,-0.197579439311215,0.0209277181845925,0.180478403112734,0.0286048768174192,-0.209699914917158,-0.288401145343299,0.564572269835428,0.00178976313087496,0.203318291246756,0.000167561965959131,4.82732234581098e-06,4
